Identifier,Submission Date,Water point Name,Woreda,Kebele,Parish,Village,Latitude,Longitude,DWD number of water point,Year of water point construction,Who funded the construction of this water point,Estimate the number of households who use this water point as their source of water,What is the main purpose for which people use water from this water point?,What is the main purpose for which people use water from this water point?--OTHER--,Is water used by vendors/collected to sell other places?,Are their livestock drinking facilities at the water point?,Type of water source,Public Tapstand - Name of Water Scheme Connected,Public Tapstand With Water Meter,Water Meter Functioning,Rain Water Harvesting Tank - Volume (L),Number of Taps/Spouts,Protected Spring Type,How many spouts does it have?,Borehole/Well Depth (m),Borehole/Well Diameter (In),Type of lifting device?,Handpump Type,What is the pipe material?,Is the water point currently functional?,Please rate the level of functionality,Specify the nature of the technical breakdowns,Duration of the current non-functionality (how long has it been out of service),How many days in total was the water facility out of service during the past one year?,How many hours per day is it possible to collect water from this source?,How many minutes does it take to fill a 20 Litre Jerry can?,Physical state of the Apron,Physical state of the pedestal,Physical state of Tap/ Spouts,Status of how the tap/ spout is currently being used,Physical state of drainage channel and soakpit,Physical state of the Pumphead,Physical state of the handle,Physical state of the retention wall,Physical state of the superstructure (building and door),Physical state of the plumbing works in the kiosk,How many rainwater harvesting tanks are present?,What is the total storage capacity of the tanks?,How many rainwater harvesting tanks are in USE?,What is the total storage volume of tanks IN USE?,What is the physical state of the gutters,What is the status of the filtration system?,What is the physical state of the filtration system,What is the Physical state of the MAIN tank,Please explain any other observable technical problems that require repairs,Are there any components of the well/ borehole that require total replacement?,Are there any components of the well/ borehole that require total replacement?--OTHER--,Are there any components of the protected spring that require total replacement?,Are there any components of the protected spring that require total replacement?--OTHER--,Are there any components of the public tapstand that require total replacement?,Are there any components of the public tapstand that require total replacement?--OTHER--,Are there any components of the kiosk that require total replacement?,Are there any components of the kiosk that require total replacement?--OTHER--,Are there any components of the rainwater harvesting system that require total replacement?,Are there any components of the rainwater harvesting system that require total replacement?--OTHER--,Are there any potential sources of contamination within 10 meters of the water point?,Is the catchment protected and are there any potential sources if contamination nearby?,Are there any potential sources of contamination to the rainwater system?,Is there concern about potential contamination of the water quality?,Is there concern about potential contamination of the water quality?--OTHER--,Are there any concerns about the COLOUR of the water?,Are there any concerns about the ODOUR/SMELL of the water?,Are there any concerns about the TASTE of the water?,Please any other concern about water quality,Who is responsible for daly operation of the water point?,Who is responsible for daly operation of the water point?--OTHER--,Is the care paid or unpaid?,Is there a WUC/ WSC for this water point?,Who is responsible for the overall management of this water point?,Is the WUC/ WSC currently active?,"In the last year, has the WUC/ WSC/ Management body organised any maintenance activities or repairs?","In the last year,has the WUC/WSC received any support or guidance from the sub-county or district government?",Number of members of the WUC/ WSC,Number of Active members on the WUC/WSC,Number of women on the WUC/WSC,"Number of women in key positions on the WUC/WSC (chair, secretary of finance)",Is the WUC/WSC a member of the Sub County Water Supply and Sanitation Board?,Does the WUC/WSC/operator keep records of the water meter readings or amount of water collected?,Does the WUC/WSC/operator keep financial records on income collected?,Does the WUC/WSC keep financial records on expenditure and/or a record of repairs?,Does the WUC/WSC have a bank account?,When were the last water quality tests done?,Does the operator keep financial records on expenditure and/or a record of repairs?,Has the WUC/WSC received any support or training from the Sub county or the district in the past year?,Do users pay for water?,How much is typically collected from each user when there is a breakdown or repair?,Type of tariff system,Type of tariff system--OTHER--,What is the monthly tariff?,What is the annual tariff?,What is the tariff per 20L jerry can?,% of Community Paying Tariffs,Are there any families or people in the village exempted from payment due to inability to pay?
h5p0-fnfe-a771,06-04-2021 08:56:55 UTC,Tangi Atapara bar,Agago,Omot,Awonodwee,Atapara bar,2.62583556,33.2169222,,2013,Government,,,,Never,No,Deep borehole,,,,,,,,37,2,Handpump,,GI,,,pipes should be added,more than one year,,,,Poor,Good,,,very poor,Excellent,Excellent,,,,,,,,,,,,apron needs replacement,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,Yes,9,6,4,2,Yes,,,Yes,Yes,,,Yes,,,,,,,,,
9j82-9xwk-weqc,06-04-2021 09:09:45 UTC,pacer health centre 3 rain water havest tank,Agago,Parabongo,Pacer,Jinja,2.98376772,33.3311857,,2006,Government,,Institutional use (school or healthcare facility/ health centre),,Never,No,Rain water harvesting tank,,,,10000,,,,,,,,,Non-functional,,broken taps,more than 20 days but less than one year,,,,,,,,fair,,,,,,2,15000,0,0,Fair (moderate),Present and in use,Fair (moderate),Good,taps and some few gutters needs rectification,,,,,,,,,Taps,,,,NONE-no contamination risks observed,,,,,,,Caretaker,,Unpaid,No,Private operator,,No,,,,,,,,,,,,No,,,,,,,,,,
62kn-tk4n-3nk7,06-04-2021 09:07:41 UTC,Adunu,Agago,Kalongo Town Council,Oret,Adunu West,3.03566731,33.3629356,,2004,NGO,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,42,2,Handpump,,PVC,Non-functional,,Pipes and cylinder needs replacement,more than one year,,,,Very poor,Very poor,,,poor drainage,Very poor,Poor,,,,,,,,,,,,pipes and cylinder and general repair,Pedestal,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Private operator,,,No,Private operator,,No,,,,,,,,,,,,No,,,,,,,,,,
833k-kaad-devp,06-04-2021 09:15:41 UTC,Patongo Akwee P/S BH,Agago,Patongo Town Council,Pece,Old Mkt Square,2.76573445,33.3079717,30992,2009,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,12,2,Handpump,,Stainless Steel,Functional in use,Fully functioning at 100%,,,More than 3 weeks total,8-16 hours,1-3 minutes,Fair (moderate),Good,,,bad,Fair (moderate),Poor,,,,,,,,,,,,headpump and handle,Pumphead,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Never,Rarely,no,Caretaker,,Unpaid,Yes,Private operator,No,No,No,9,3,2,1,No,No,Yes,Yes,Yes,During construction of the water source,Yes,No,Yes,,Fixed tariff per month,,1000,,,70,Yes
raaq-qyxs-214w,06-04-2021 09:11:16 UTC,arwee,Agago,Laperebong,Nanangwe,Arwai,2.68939546,33.3892649,,2018,Government,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,Unknown,more than 16 hours,1-3 minutes,Fair (moderate),Good,,,good,Good,Good,,,,,,,,,,,,none,NONE,,,,,,,,,,Rubbish nearby,,,No concern- water is clean,,Never,Never,Rarely,none,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,4,2,No,No,Yes,Yes,No,Unknown,,No,Yes,,Fixed tariff per month,,2000,,,70,Yes
nyt9-0t03-3sxs,06-04-2021 09:19:02 UTC,Okwir spring,Agago,Omot,Awonodwee,Atapara bar,2.6208289,33.2283713,,2009,NGO,more than 100,Drinking water,,Never,No,Protected spring,,,,,More than one,improved,,,,,,GI,,Fully functioning at 100%,,,It was never broken down,8-16 hours,1-3 minutes,,,Fair (moderate),Active all are in use,good,,,Good,,,,,,,,,,,pipes need replacement,,,NONE,,,,,,,,,NONE -No contamination risk observed,,No concern- water is clean,,Sometimes,Sometimes,Rarely,it also has some warmth that causes contamination,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,6,4,2,No,,,Yes,No,During construction of the water source,,No,No,,,,,,,,
1hcr-9stx-4qj2,06-04-2021 09:20:00 UTC,pacer health centre lll staff public tapstand,Agago,Parabongo,Pacer,Jinja,2.98361392,33.3313619,,2017,NGO,less than 25,Drinking water,,Never,No,Public Tapstand,,Yes,Yes,,,,,,,,,,Functional in use,Fully functioning at 100%,,,It was never broken down,8-16 hours,1-3 minutes,Good,,Good,Active all are in use,good,,,,,,,,,,,,,,none,,,,,NONE,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,good quality,,water users,,Yes,WUC/ WSC,Yes,,No,3,3,1,1,No,,,No,No,During construction of the water source,,No,No,,,,,,,,
cpgw-jqun-s560,06-04-2021 09:21:14 UTC,Pacer P/S rainwater harvesting tank,Agago,Parabongo,Pacer,Yot Kom,2.98152283,33.3298378,,2014,NGO,,Water for other household and domestic use,,Never,No,Rain water harvesting tank,,,,50000,,,,,,,,,Non-functional,,"broken taps and gutters, tank",more than one year,More than 3 weeks total,,,,,,,very poor,,,,,,5,50000,0,0,Very poor,No filtration system exists,,Very Poor,replaced tank,,,,,,,,,Drainage channel,,,,"Visible contamination on roof catchment area (plants, dirt, excreta)",,,,,,,Caretaker,,Unpaid,No,Unknown,,No,,,,,,,,,,,,,,,,,,,,,,
gtt8-5xxq-rfcx,06-04-2021 09:29:18 UTC,Bunga B/h,Agago,Kuywee,Atut,Bunga,3.03329131,33.2736795,33830,2011,NGO,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,33,0,Handpump,,Stainless Steel,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,more than 3 minutes,Poor,Por,,,fair,Very poor,Poor,,,,,,,,,,,,Hard to pump.,Pumphead,pipes.,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,Contamination from soil or metals,,Always - problems with colour,Never,Rarely,None,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,4,2,No,No,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,1000,,,90,Yes
u8jb-b2jk-k29f,06-04-2021 09:31:46 UTC,Patongo Akwee P/S RHT,Agago,Patongo Town Council,Pece,Old Mkt Square,2.76446173,33.3075639,,2007,NGO,,Institutional use (school or healthcare facility/ health centre),,Never,No,Rain water harvesting tank,,,,10000,,,,,,,,,Non-functional,,tap spout broken & gutters,Unknown,Unknown,,,,,,,not seen,,,,,,3,30000,0,30000,Poor,No filtration system exists,,Fair (moderate),tap & filtration system,,,,,,,,,Taps,,,,"Visible contamination on roof catchment area (plants, dirt, excreta)",,,,,,,Private operator,,,Yes,WUC/ WSC,No,,No,9,3,2,1,No,,,Yes,Yes,,,No,,,,,,,,,
qct8-384d-a5j3,06-04-2021 09:34:50 UTC,Akado west,Agago,Kalongo Town Council,Akado,Akado West,3.03462386,33.3629411,,2005,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,60,2,Handpump,,PVC,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,more than 8,less than 1 minute,Fair (moderate),Good,,,poor drainage,Good,Good,,,,,,,,,,,,pipes needs to be replaced,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,pipes and bearings and rods needs replacement,Caretaker,,Paid,No,Private operator,,No,,,,,,,No,Yes,,,During construction of the water source,Yes,,Yes,,Fixed tariff per month,,1000,,,85,Yes
n3hj-rkug-f1n7,06-04-2021 09:37:09 UTC,Abedober sw,Agago,Arum,Alwar,Abedo Ber,2.68906114,33.1974374,,2016,NGO,50-100,Water for other household and domestic use,,Sometimes,No,Shallow well,,,,,,,,6,2,Handpump,,PVC,Functional in use,Fully functioning at 100%,,,,more than 8,less than 1 minute,Poor,Good,,,poor,Good,Good,,,,,,,,,,,,the water point is developing some worms pipes are few,Drainage channel,,,,,,,,,,Animal excreta nearby,,,Contamination from soil or metals,,Sometimes,Never,Rarely,good quality water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,4,3,1,Yes,,,Yes,No,During construction of the water source,,No,No,,,,,,,,
r8rn-v28t-scag,06-04-2021 09:31:46 UTC,Pacer P/S staff quarters rainwater harvesting tank,Agago,Parabongo,Pacer,Yot Kom,2.98274135,33.3308221,,2016,NGO,,Water for other household and domestic use,,Never,No,Rain water harvesting tank,,,,5000,,,,,,,,,Functional and not in use,Barely functioning (almost not functioning),,,More than 3 weeks total,,,,,,,good,,,,,,1,5000,1,5000,Good,Present and in use,Good,Good,broken tap,,,,,,,,,Taps,,,,NONE-no contamination risks observed,No concern- water is clean,,Never,Never,Rarely,water for domestic purposes,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,Never,,,No,,,,,,,,
cnby-xppg-0g6r,06-04-2021 09:38:32 UTC,Patongo akwee tapstand,Agago,Patongo Town Council,Pece,Old Mkt Square,2.76429314,33.3076509,,2016,Government,,Water for other household and domestic use,,Never,No,Public Tapstand,,Yes,Yes,,,,,,,,,,Non-functional,,Block due to unpaid tariff,more than one year,,,,Very poor,,Good,Active all are in use,not there,,,,,,,,,,,,,,none,,,,,Drainage channel,,,,,,NONE-No contamination risk observed,,,,,,,,,,school management,,No,National Water and Sewerage Cooperation,,No,,,,,,,,,,,,Yes,,,,,,,,,,
thmm-62nv-n7f2,06-04-2021 09:43:14 UTC,Pacer Hybrid solar powered piped water scheme,Agago,Parabongo,Pacer,Yot Kom,2.98265853,33.3299521,,2016,NGO,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,20,2,Motorised pump,AfriDev,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,1-3 minutes,Poor,Fair (moderate),,,poor,Fair (moderate),Fair (moderate),,,,,,,,,,,,leaking of water and loose nuts,Handle,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,clean safe drinking water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,11,11,5,11,No,Yes,Yes,Yes,No,3 months to 1 year ago,,Yes,Yes,,Fixed tariff per month,,1000,,,80,No
p63c-1nrd-5qd6,06-04-2021 09:45:55 UTC,Wang Ogwara Omoja,Agago,Omot,Awonodwee,Abero B,2.62262,33.2393217,,2010,NGO,50-100,Water for other household and domestic use,,Never,No,Protected spring,,,,,One,ordinary,One,,,,,I don't know,Functional in use,Partially functioning works with some issues/ difficulties,,,It was never broken down,8-16 hours,more than 3 minutes,,,Good,Active all are in use,Fair,,,Fair (moderate),,,,,,,,,,,floor and retention wall are wearing out,,,Catchment protection or fence,,,,,,,,,Animal at the catchment,,No concern- water is clean,,Sometimes,Sometimes,Rarely,water source should be fenced,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,11,11,5,1,No,,,No,No,Never,,No,No,,,,,,,,
f03h-7jgj-q5ud,06-04-2021 09:52:31 UTC,Akado west,Agago,Kalongo Town Council,Akado,Akado West,3.03358338,33.3652658,20778,2004,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,60,2,Handpump,,PVC,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,more than 8,more than 3 minutes,Fair (moderate),Good,,,fair,Good,Good,,,,,,,,,,,,pipes and cylinder needs replacement,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,"pipes ,cylinder and rodes needs to be replaced .",Caretaker,,Paid,No,Private operator,,Yes,,,,,,,No,Yes,,,During construction of the water source,Yes,,Yes,,Fixed tariff per month,,1000,,,90,Yes
wdem-gtb7-6pa8,06-04-2021 09:50:37 UTC,alwee,Agago,Laperebong,Orina,Alwar,2.67067634,33.4039457,,2009,Government,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,30,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,Unknown,more than 16 hours,more than 3 minutes,Poor,Fair (moderate),,,broken,Fair (moderate),Fair (moderate),,,,,,,,,,,,apron,Apron,,,,,,,,,,Rubbish nearby,,,No concern- water is clean,,Never,Never,Rarely,none,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,4,2,No,No,Yes,Yes,No,Unknown,,No,Yes,,Fixed tariff per month,,2000,,,65,Yes
bfe1-7c6u-0sfw,06-04-2021 09:58:57 UTC,tangi amref,Agago,Arum,Alwar,Abedo Ber,2.69035023,33.2062923,,2005,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Non-functional,,pipes and rod has rusted,more than one year,,8-16 hours,1-3 minutes,Fair (moderate),Good,,,poor,Good,Good,,,,,,,,,,,,pipes and rod has rusted,Drainage channel,pipes and rod has rusted,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,,,,,,,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,3,3,1,Yes,,,Yes,No,,,No,,,,,,,,,
0ysu-kvk4-v36g,06-04-2021 10:03:15 UTC,Biwang East borehole,Agago,Parabongo,Pacer,Biwang East,2.96450364,33.3223474,,2016,Government,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,33,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,more than 3 minutes,Very poor,Good,,,good,Good,Good,,,,,,,,,,,,apron,Apron,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,clean safe water for drinking,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,5,5,2,1,No,No,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,1000,,,80,No
8ahr-5hpg-fbr9,06-04-2021 10:01:41 UTC,Abero B Borehole,Agago,Omot,Awonodwee,Abero B,2.61839333,33.2438233,,2021,Government,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,48,0,Handpump,,Stainless Steel,Functional in use,Fully functioning at 100%,,,It was never broken down,8-16 hours,1-3 minutes,Excellent,Excellent,,,Not yet there,Excellent,Excellent,,,,,,,,,,,,Its still brand new,NONE,,,,,,,,,,NONE-No contamination risk observed,,,,,Never,Never,Rarely,its is just drilled and its yet to function,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,10,10,4,1,No,,,Yes,No,Never,,Yes,No,,,,,,,,
47ux-c7qw-v68x,06-04-2021 10:12:12 UTC,Lela-Kabala,Agago,Kuywee,Labwordwong,Lela Kabala,3.02716236,33.2444365,33831,2011,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,48,0,Handpump,,HDP,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,more than 3 minutes,Fair (moderate),Fair (moderate),,,very poor,Fair (moderate),Poor,,,,,,,,,,,,"Water takes longer time to come, less pipes.",Handle,pipes,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,Contamination from animals or human feces (e.g. latrines or OD),,Always - problems with colour,Never,Rarely,None,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,10,6,5,2,Yes,No,Yes,Yes,No,Never,,Yes,Yes,,Fixed tariff per month,,1000,,,60,Yes
d13n-28vv-0rx0,06-04-2021 10:15:11 UTC,tangi wang John,Agago,Arum,Alwar,Abedo Ber,2.68903515,33.2071131,21507,2005,NGO,50-100,Washing cars/ motorcycles,,Often,Yes,Deep borehole,,,,,,,,24,2,Handpump,,PVC,Functional in use,Partially functioning works with some issues/ difficulties,,,,8-16 hours,more than 3 minutes,Poor,Good,,,poor,Good,Good,,,,,,,,,,,,bearing has broken down,Drainage channel,bearing has broken down,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,No concern- water is clean,,Never,Never,Rarely,good quality water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,7,2,2,2,Yes,No,Yes,Yes,No,3 months to 1 year ago,,Yes,Yes,,,when it has got broken,,,,80,Yes
bcfp-55vd-9b1a,06-04-2021 10:15:58 UTC,Akado west,Agago,Kalongo Town Council,Akado,Akado West,3.03562087,33.366421,17831,2004,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,51,2,Handpump,,PVC,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,more than 8,1-3 minutes,Poor,Good,,,poor drainage,Good,Good,,,,,,,,,,,,"pipes , bearing and rubber and complete cylinder",Pumphead,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Always - problems with colour,Never,Always - Problems with Taste,pipes and full sets of cylinder,Private operator,,,No,Private operator,,Yes,,,,,,,,,,,During construction of the water source,No,,No,,,,,,,,
xsk8-8uej-4bah,06-04-2021 10:17:58 UTC,Tangi Tee yaoo,Agago,Omot,Awonodwee,Abero B,2.60956005,33.2434993,31327,2010,NGO,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,75,2,Handpump,,GI,,Fully functioning at 100%,,,It was never broken down,more than 8,1-3 minutes,Good,Good,,,good,Good,Fair (moderate),,,,,,,,,,,,apron needs replacement,Apron,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Sometimes,Rarely,handle has some wearing,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,Yes,12,9,3,3,No,,,Yes,No,During construction of the water source,,Yes,No,,,,,,,,
mqry-4qmu-92d6,06-04-2021 10:19:58 UTC,Karuma borehole,Agago,Parabongo,Pacer,Karuma,2.95733637,33.3139772,31008,2009,NGO,25-50,Drinking water,,Never,No,Deep borehole,,,,,,,,33,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,About 1 week in total,8-16 hours,1-3 minutes,Good,Good,,,good,Good,Good,,,,,,,,,,,,nothing,Apron,,,,,,,,,,Animal excreta nearby,,,No concern- water is clean,,Never,Never,Rarely,clean safe water for drinking,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,5,1,No,No,Yes,Yes,No,1 to 5 years ago,,No,Yes,,Fixed tariff per month,,1000,,,85,No
9nrc-yq98-j3j2,06-04-2021 10:20:41 UTC,Patongo Mission BH,Agago,Patongo Town Council,Pece,Old Mkt Square,2.76354098,33.3062115,,1982,Religious institutions,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,1-3 minutes,Fair (moderate),Good,,,fare,Fair (moderate),Fair (moderate),,,,,,,,,,,,Handle is nodding while pumping,Pumphead,,,,,,,,,,Latrine nearby,,,No concern- water is clean,,Never,Never,Rarely,good,,catechist,,No,No management,,,,,,,,,,,,,1 to 5 years ago,,,No,,,,,,,,
mkwh-nu44-tsdv,06-04-2021 10:38:07 UTC,Abero A Borehole,Agago,Omot,Awonodwee,Abero,2.60615667,33.2340633,37770,2011,NGO,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,24,0,Handpump,,I don't know,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,more than 16 hours,1-3 minutes,Very poor,Good,,,good,Fair (moderate),Fair (moderate),,,,,,,,,,,,hard to pump,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Sometimes,Rarely,"fencing water source, and rennovating apron",Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,8,8,4,1,No,,,Yes,No,During construction of the water source,,No,Users contribute fees only when repair is needed,3500,,,,,,,
nbpa-uqd2-ha4g,06-04-2021 10:37:40 UTC,tangi alwa cuk,Agago,Arum,Alwar,Abedo Ber,2.6917335,33.2080878,,2008,NGO,50-100,Washing cars/ motorcycles,,Often,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,,8-16 hours,more than 3 minutes,Very poor,Good,,,poor,Very poor,Very poor,,,,,,,,,,,,"pipes,rod,pumphead and handle has broken down",Pumphead,pipes and rod has broken down,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Sometimes,Rarely,good water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,3,5,2,No,No,Yes,Yes,No,During construction of the water source,,No,Yes,,Fixed tariff per month,,1000,,,40,Yes
wwht-dkjk-dr86,06-04-2021 10:45:56 UTC,Biwang East borehole,Agago,Parabongo,Pacer,Biwang,2.97128509,33.3197144,32654,2009,NGO,50-100,Drinking water,,Never,No,Deep borehole,,,,,,,,30,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,About 1 week in total,8-16 hours,1-3 minutes,Good,Good,,,good,Good,Good,,,,,,,,,,,,soak pit,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,safe drinking water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,5,5,2,1,No,No,Yes,Yes,No,1 to 5 years ago,,No,Yes,,Fixed tariff per month,,1000,,,80,No
4ad7-th17-m4fs,06-04-2021 10:42:30 UTC,Bombo South B/h,Agago,Kuywee,Bombo,Bombo South,3.03279206,33.2286412,41397,2013,NGO,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,48,0,Handpump,,Stainless Steel,Non-functional,,problems might have been in the cylinder and pipes.,more than one year,Unknown,,,Fair (moderate),Por,,,very poor,Fair (moderate),Fair (moderate),,,,,,,,,,,,None,Drainage channel,,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,No,9,6,4,2,No,,,Yes,No,,,No,,,,,,,,,
1edm-7bbs-8m70,06-04-2021 10:46:57 UTC,St. Joseph Tapstand,Agago,Patongo Town Council,Pece,Old Mkt Square,2.76302664,33.3068863,,2016,NGO,less than 25,Water for other household and domestic use,,Never,No,Public Tapstand,,Yes,Yes,,,,,,,,,,Functional in use,Fully functioning at 100%,,,It was never broken down,more than 8,1-3 minutes,Excellent,,Excellent,Active all are in use,good,,,,,,,,,,,,,,none,,,,,NONE,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,Good,,school management,,No,National Water and Sewerage Cooperation,,No,,,,,,,,,,,During construction of the water source,Yes,,No,,,,,,,,
0dje-v60u-mwny,06-04-2021 10:56:22 UTC,St. Joseph BH,Agago,Patongo Town Council,Pece,Old Mkt Square,2.76232537,33.3072209,,1982,Religious institutions,less than 25,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,About 1 week in total,8-16 hours,1-3 minutes,Good,Good,,,good,Good,Good,,,,,,,,,,,,shaky while pumping,Handle,,,,,,,,,,Latrine nearby,,,No concern- water is clean,,Never,Never,Rarely,Good,,school management,,No,WUC/ WSC,,,,,,,,,,,,,1 to 5 years ago,,,No,,,,,,,,
t35h-rc51-buvq,06-04-2021 11:10:23 UTC,Tangi Atece atece B,Agago,Omot,Atece,AteceAtece B,2.67594,33.22825,30989,2009,NGO,,Drinking water,,Never,No,Deep borehole,,,,,,,,24,2,Handpump,,GI,Non-functional,,pipes should be added,Unknown,,,,Good,Good,,,good,Good,Good,,,,,,,,,,,,drainage system needs improvement,Handle,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,6,2,2,No,,,Yes,No,,,No,,,,,,,,,
23vc-q6ny-tbr4,06-04-2021 11:14:57 UTC,wang abathin sw,Agago,Arum,Alwar,Owolo,2.68941762,33.1769872,,2008,NGO,25-50,Washing cars/ motorcycles,,Never,No,Shallow well,,,,,,,,12,2,Handpump,,GI,Non-functional,,pipes and rod plus handle bearing has broken down,more than one year,,8-16 hours,1-3 minutes,Good,Good,,,good,Good,Very poor,,,,,,,,,,,,pipes and rod plus handle has broken down,Handle,pipes and rod plus handle has broken down,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,No,9,1,3,1,Yes,,,Yes,No,,,No,,,,,,,,,
